post_id,data_postagem,tipo_conteudo,legenda,hashtags,curtidas,comentarios,alcance,impressoes,salvamentos,compartilhamentos,visualizacoes_video,seguidores,cliques_link,visitas_perfil,idade_media,genero_predominante,localizacao_principal
17,2025-02-06 22:23:10.516220570,reels,Legenda sobre o post 17 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal17 #outrotema #marketingdigital #redessociais,2745,292,32940,32940,21,54,9365.0,16068,18,142,43,Masculino,Rio de Janeiro
18,2025-02-07 00:28:08.110762358,image,Legenda sobre o post 18 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal18 #outrotema #marketingdigital #redessociais,2600,73,22100,44200,47,129,,16070,0,206,22,Feminino,Belo Horizonte
19,2025-02-07 01:36:38.275113344,reels,Legenda sobre o post 19 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal19 #outrotema #marketingdigital #redessociais,1365,344,14332,28665,2,189,14781.0,16072,20,237,36,Feminino,Outros
20,2025-02-07 01:45:57.655251741,image,Legenda sobre o post 20 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal20 #outrotema #marketingdigital #redessociais,2743,482,30173,60346,115,26,,16074,51,213,37,Feminino,Outros
21,2025-02-07 02:13:25.327784777,video,Legenda sobre o post 21 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal21 #outrotema #marketingdigital #redessociais,3643,316,47359,94718,92,73,13370.0,16076,59,19,36,Feminino,Rio de Janeiro
22,2025-02-07 04:09:59.436370134,video,Legenda sobre o post 22 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal22 #outrotema #marketingdigital #redessociais,201,151,2914,5829,6,60,2401.0,16078,21,113,36,Feminino,Belo Horizonte
23,2025-02-07 05:39:15.878531933,carousel,Legenda sobre o post 23 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal23 #outrotema #marketingdigital #redessociais,1775,145,42600,42600,47,186,,16080,48,76,41,Feminino,Rio de Janeiro
24,2025-02-07 05:57:08.945468187,reels,Legenda sobre o post 24 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal24 #outrotema #marketingdigital #redessociais,1323,331,25137,25137,57,42,7996.0,16082,68,11,41,Masculino,São Paulo
25,2025-02-07 06:02:48.087633848,image,Legenda sobre o post 25 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal25 #outrotema #marketingdigital #redessociais,147,244,955,1911,72,114,,16084,13,205,18,Feminino,Rio de Janeiro
26,2025-02-07 06:46:37.362931490,image,Legenda sobre o post 26 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal26 #outrotema #marketingdigital #redessociais,2932,254,13194,26388,68,45,,16086,29,232,27,Feminino,Rio de Janeiro
27,2025-02-07 07:20:14.997127295,image,Legenda sobre o post 27 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal27 #outrotema #marketingdigital #redessociais,2552,18,29348,58696,8,159,,16088,78,204,23,Masculino,Porto Alegre
28,2025-02-07 07:37:11.822819710,image,Legenda sobre o post 28 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal28 #outrotema #marketingdigital #redessociais,3608,250,82984,82984,60,64,,16090,47,171,28,Feminino,São Paulo
29,2025-02-07 08:49:38.366243601,reels,Legenda sobre o post 29 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal29 #outrotema #marketingdigital #redessociais,3536,353,60112,60112,92,146,1797.0,16092,14,227,36,Masculino,São Paulo
30,2025-02-07 09:25:34.389845133,image,Legenda sobre o post 30 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal30 #outrotema #marketingdigital #redessociais,2071,268,28994,28994,127,126,,16094,25,67,43,Feminino,Outros
31,2025-02-07 11:46:32.860037565,video,Legenda sobre o post 31 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal31 #outrotema #marketingdigital #redessociais,1994,437,18943,37886,54,107,4705.0,16096,38,185,20,Masculino,Porto Alegre
32,2025-02-07 13:08:25.267296076,image,Legenda sobre o post 32 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal32 #outrotema #marketingdigital #redessociais,3279,17,68859,68859,9,129,,16098,68,151,35,Feminino,Outros
33,2025-02-07 14:02:50.754481554,image,Legenda sobre o post 33 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal33 #outrotema #marketingdigital #redessociais,3963,405,37648,75297,112,78,,16100,38,93,23,Feminino,Outros
34,2025-02-07 15:33:09.994996548,video,Legenda sobre o post 34 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal34 #outrotema #marketingdigital #redessociais,1019,278,20380,20380,53,194,5864.0,16102,0,190,36,Masculino,São Paulo
35,2025-02-07 16:32:24.513057470,video,Legenda sobre o post 35 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal35 #outrotema #marketingdigital #redessociais,1138,221,30726,30726,62,28,7760.0,16104,69,27,34,Masculino,Outros
36,2025-02-07 21:03:10.832232475,carousel,Legenda sobre o post 36 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal36 #outrotema #marketingdigital #redessociais,641,222,6089,12179,134,93,,16106,29,139,25,Masculino,Belo Horizonte
37,2025-02-08 00:02:14.202133179,reels,Legenda sobre o post 37 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal37 #outrotema #marketingdigital #redessociais,2691,269,69966,69966,34,91,11799.0,16108,33,294,32,Feminino,Outros
38,2025-02-08 00:27:27.601236582,video,Legenda sobre o post 38 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal38 #outrotema #marketingdigital #redessociais,3548,448,56768,56768,107,36,3644.0,16110,37,39,21,Masculino,Porto Alegre
39,2025-02-08 04:12:01.981081247,reels,Legenda sobre o post 39 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal39 #outrotema #marketingdigital #redessociais,2672,180,21376,21376,24,67,12000.0,16112,59,172,38,Feminino,Outros
40,2025-02-08 06:39:24.834738255,image,Legenda sobre o post 40 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal40 #outrotema #marketingdigital #redessociais,4024,376,12072,24144,4,121,,16114,62,61,35,Feminino,Outros
41,2025-02-08 07:29:19.084480047,image,Legenda sobre o post 41 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal41 #outrotema #marketingdigital #redessociais,1494,108,20916,20916,118,172,,16116,57,276,39,Feminino,São Paulo
42,2025-02-08 08:00:07.324798584,reels,Legenda sobre o post 42 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal42 #outrotema #marketingdigital #redessociais,188,247,2726,5452,136,96,4833.0,16118,27,100,33,Feminino,Belo Horizonte
43,2025-02-08 08:21:21.181355953,video,Legenda sobre o post 43 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal43 #outrotema #marketingdigital #redessociais,4033,234,18148,36297,33,66,11570.0,16120,73,288,38,Feminino,Porto Alegre
44,2025-02-08 10:52:15.701541185,image,Legenda sobre o post 44 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal44 #outrotema #marketingdigital #redessociais,1392,32,40368,40368,2,155,,16122,71,123,28,Feminino,Outros
45,2025-02-08 13:20:42.603364706,carousel,Legenda sobre o post 45 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal45 #outrotema #marketingdigital #redessociais,4800,252,55200,110400,95,65,,16124,66,192,25,Masculino,Outros
46,2025-02-08 15:29:11.426639318,image,Legenda sobre o post 46 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal46 #outrotema #marketingdigital #redessociais,3748,245,13118,26236,127,60,,16126,22,146,35,Feminino,São Paulo
47,2025-02-08 18:31:38.456587076,video,Legenda sobre o post 47 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal47 #outrotema #marketingdigital #redessociais,1301,130,11709,23418,8,145,4517.0,16128,14,298,26,Feminino,Outros
48,2025-02-08 18:52:41.103053808,video,Legenda sobre o post 48 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal48 #outrotema #marketingdigital #redessociais,2594,143,15564,31128,4,82,12089.0,16130,50,242,41,Masculino,Rio de Janeiro
49,2025-02-08 19:36:59.915678978,video,Legenda sobre o post 49 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal49 #outrotema #marketingdigital #redessociais,4895,364,70977,141955,130,154,3352.0,16132,27,214,29,Masculino,São Paulo
50,2025-02-08 21:46:13.443182468,reels,Legenda sobre o post 50 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal50 #outrotema #marketingdigital #redessociais,4968,213,64584,129168,126,109,6038.0,16134,27,153,32,Feminino,Outros
51,2025-02-08 22:26:01.757184744,image,Legenda sobre o post 51 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal51 #outrotema #marketingdigital #redessociais,510,21,2040,4080,55,75,,16136,13,130,40,Feminino,Rio de Janeiro
52,2025-02-09 01:53:14.118752241,reels,Legenda sobre o post 52 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal52 #outrotema #marketingdigital #redessociais,3895,301,62320,62320,41,23,3192.0,16138,5,179,26,Feminino,Porto Alegre
53,2025-02-09 02:23:37.170820713,image,Legenda sobre o post 53 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal53 #outrotema #marketingdigital #redessociais,4040,331,42420,84840,106,193,,16140,31,89,23,Feminino,São Paulo
54,2025-02-09 04:07:49.134597540,reels,Legenda sobre o post 54 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal54 #outrotema #marketingdigital #redessociais,3210,292,9630,19260,69,42,12959.0,16142,16,232,43,Feminino,Belo Horizonte
55,2025-02-09 14:17:00.885265827,video,Legenda sobre o post 55 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal55 #outrotema #marketingdigital #redessociais,731,183,7310,14620,13,122,12222.0,16144,48,253,30,Feminino,Belo Horizonte
56,2025-02-09 14:38:06.407460213,reels,Legenda sobre o post 56 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal56 #outrotema #marketingdigital #redessociais,1901,495,15208,15208,41,62,5929.0,16146,76,93,29,Feminino,São Paulo
57,2025-02-09 19:38:53.300012589,carousel,Legenda sobre o post 57 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal57 #outrotema #marketingdigital #redessociais,1054,94,5270,10540,49,144,,16148,43,153,23,Masculino,Rio de Janeiro
58,2025-02-09 22:15:40.807019234,carousel,Legenda sobre o post 58 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal58 #outrotema #marketingdigital #redessociais,1110,97,23310,23310,94,149,,16150,71,111,31,Feminino,Outros
59,2025-02-09 22:23:06.725069523,reels,Legenda sobre o post 59 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal59 #outrotema #marketingdigital #redessociais,83,400,1245,1245,141,52,12675.0,16152,53,207,18,Masculino,Outros
60,2025-02-10 03:17:52.723890305,reels,Legenda sobre o post 60 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal60 #outrotema #marketingdigital #redessociais,1305,373,32625,32625,39,107,10560.0,16154,57,14,26,Masculino,Outros
61,2025-02-10 05:01:28.658297539,image,Legenda sobre o post 61 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal61 #outrotema #marketingdigital #redessociais,3232,321,45248,90496,127,43,,16156,26,79,43,Feminino,Belo Horizonte
62,2025-02-10 05:08:46.764050961,reels,Legenda sobre o post 62 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal62 #outrotema #marketingdigital #redessociais,4000,152,20000,20000,8,169,3723.0,16158,41,188,32,Masculino,São Paulo
63,2025-02-10 11:49:30.294511080,image,Legenda sobre o post 63 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal63 #outrotema #marketingdigital #redessociais,3793,377,91032,91032,87,49,,16160,55,78,25,Feminino,Rio de Janeiro
64,2025-02-10 13:52:21.569857359,carousel,Legenda sobre o post 64 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal64 #outrotema #marketingdigital #redessociais,4914,475,58968,58968,129,84,,16162,11,22,18,Masculino,Outros
65,2025-02-10 17:50:15.265184164,image,Legenda sobre o post 65 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal65 #outrotema #marketingdigital #redessociais,2517,10,6292,12585,126,9,,16164,78,43,33,Masculino,Rio de Janeiro
66,2025-02-10 18:26:31.645005465,reels,Legenda sobre o post 66 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal66 #outrotema #marketingdigital #redessociais,3267,197,29403,29403,76,17,13160.0,16166,51,27,33,Feminino,São Paulo
67,2025-02-10 18:48:38.257450581,image,Legenda sobre o post 67 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal67 #outrotema #marketingdigital #redessociais,2376,345,66528,66528,102,171,,16168,21,58,42,Masculino,Rio de Janeiro
68,2025-02-10 21:18:53.502083301,image,Legenda sobre o post 68 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal68 #outrotema #marketingdigital #redessociais,3494,489,97832,97832,94,173,,16170,42,199,41,Feminino,Outros
69,2025-02-10 23:00:58.690231562,video,Legenda sobre o post 69 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal69 #outrotema #marketingdigital #redessociais,2909,368,46544,46544,16,65,11536.0,16172,6,90,27,Masculino,São Paulo
70,2025-02-11 02:30:32.785057068,image,Legenda sobre o post 70 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal70 #outrotema #marketingdigital #redessociais,1594,50,19128,19128,0,77,,16174,23,99,18,Feminino,São Paulo
71,2025-02-11 02:51:44.540295362,carousel,Legenda sobre o post 71 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal71 #outrotema #marketingdigital #redessociais,4612,117,62262,124524,60,185,,16176,6,239,26,Masculino,Rio de Janeiro
72,2025-02-11 05:03:35.434477568,image,Legenda sobre o post 72 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal72 #outrotema #marketingdigital #redessociais,1333,14,18662,37324,35,124,,16178,32,268,31,Feminino,Porto Alegre
73,2025-02-11 06:39:00.274142027,image,Legenda sobre o post 73 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal73 #outrotema #marketingdigital #redessociais,4859,332,12147,24295,131,140,,16180,16,56,32,Masculino,Rio de Janeiro
74,2025-02-11 07:29:29.675547361,image,Legenda sobre o post 74 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal74 #outrotema #marketingdigital #redessociais,102,242,2550,2550,144,44,,16182,63,62,22,Masculino,Rio de Janeiro
75,2025-02-11 09:58:55.079165220,reels,Legenda sobre o post 75 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal75 #outrotema #marketingdigital #redessociais,4790,166,124540,124540,83,46,4055.0,16184,18,293,19,Feminino,São Paulo
76,2025-02-11 15:25:36.847177744,carousel,Legenda sobre o post 76 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal76 #outrotema #marketingdigital #redessociais,1498,477,12733,25466,58,69,,16186,43,149,40,Feminino,São Paulo
77,2025-02-11 15:28:00.790787458,video,Legenda sobre o post 77 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal77 #outrotema #marketingdigital #redessociais,3423,211,35941,71883,63,186,4614.0,16188,51,168,31,Feminino,São Paulo
78,2025-02-11 17:32:16.021872997,video,Legenda sobre o post 78 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal78 #outrotema #marketingdigital #redessociais,2840,13,39760,39760,100,14,3205.0,16190,52,156,19,Feminino,Outros
79,2025-02-11 20:41:15.194623947,reels,Legenda sobre o post 79 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal79 #outrotema #marketingdigital #redessociais,769,114,6921,6921,1,67,3213.0,16192,5,274,30,Feminino,Rio de Janeiro
80,2025-02-12 02:54:43.569211245,reels,Legenda sobre o post 80 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal80 #outrotema #marketingdigital #redessociais,184,377,2576,5152,54,119,14974.0,16194,28,152,33,Feminino,Porto Alegre
81,2025-02-12 02:56:56.526035547,carousel,Legenda sobre o post 81 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal81 #outrotema #marketingdigital #redessociais,4682,245,11705,23410,116,147,,16196,66,217,26,Masculino,Outros
82,2025-02-12 04:09:45.938292742,carousel,Legenda sobre o post 82 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal82 #outrotema #marketingdigital #redessociais,1270,7,12700,25400,75,130,,16198,26,196,23,Masculino,Outros
83,2025-02-12 06:01:18.439632893,reels,Legenda sobre o post 83 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal83 #outrotema #marketingdigital #redessociais,765,454,11475,11475,100,75,3115.0,16200,0,183,26,Masculino,São Paulo
84,2025-02-12 07:50:46.504384995,image,Legenda sobre o post 84 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal84 #outrotema #marketingdigital #redessociais,715,499,5005,10010,114,50,,16202,30,57,40,Feminino,Outros
85,2025-02-12 10:52:57.689224243,video,Legenda sobre o post 85 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal85 #outrotema #marketingdigital #redessociais,1866,180,11196,11196,47,38,13944.0,16204,8,143,41,Feminino,Outros
86,2025-02-12 12:01:44.566763878,image,Legenda sobre o post 86 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal86 #outrotema #marketingdigital #redessociais,4049,307,76931,76931,141,142,,16206,57,73,28,Feminino,Outros
87,2025-02-12 15:02:58.752702475,video,Legenda sobre o post 87 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal87 #outrotema #marketingdigital #redessociais,3518,37,40457,80914,55,23,11189.0,16208,73,27,35,Masculino,São Paulo
88,2025-02-12 23:02:47.246466398,image,Legenda sobre o post 88 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal88 #outrotema #marketingdigital #redessociais,3879,167,54306,54306,62,114,,16210,8,279,40,Feminino,São Paulo
89,2025-02-13 01:23:31.605138063,image,Legenda sobre o post 89 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal89 #outrotema #marketingdigital #redessociais,1686,430,17703,35406,45,182,,16212,77,45,28,Feminino,Rio de Janeiro
90,2025-02-13 02:49:33.738078833,reels,Legenda sobre o post 90 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal90 #outrotema #marketingdigital #redessociais,3927,128,9817,19635,69,0,10776.0,16214,55,67,29,Feminino,São Paulo
91,2025-02-13 03:26:44.729047060,image,Legenda sobre o post 91 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal91 #outrotema #marketingdigital #redessociais,2241,241,11205,11205,14,52,,16216,28,289,27,Masculino,Outros
92,2025-02-13 04:42:49.914188147,image,Legenda sobre o post 92 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal92 #outrotema #marketingdigital #redessociais,1071,402,13923,13923,61,100,,16218,41,159,41,Feminino,Outros
93,2025-02-13 06:22:40.137876987,video,Legenda sobre o post 93 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal93 #outrotema #marketingdigital #redessociais,4352,141,58752,117504,98,41,6474.0,16220,16,203,24,Feminino,Rio de Janeiro
94,2025-02-13 08:32:24.391390800,image,Legenda sobre o post 94 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal94 #outrotema #marketingdigital #redessociais,2963,195,47408,47408,16,178,,16222,35,76,30,Feminino,Porto Alegre
95,2025-02-13 09:05:35.208141804,carousel,Legenda sobre o post 95 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal95 #outrotema #marketingdigital #redessociais,1662,458,15789,31578,101,94,,16224,79,54,41,Feminino,Outros
96,2025-02-13 09:36:56.180431604,image,Legenda sobre o post 96 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal96 #outrotema #marketingdigital #redessociais,403,13,3627,7254,92,174,,16226,2,210,25,Feminino,Outros
97,2025-02-13 10:20:06.279058218,reels,Legenda sobre o post 97 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal97 #outrotema #marketingdigital #redessociais,1449,447,15214,30429,77,18,4160.0,16228,34,88,37,Feminino,Outros
98,2025-02-13 11:48:23.148154259,reels,Legenda sobre o post 98 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal98 #outrotema #marketingdigital #redessociais,3809,241,43803,87607,21,151,10301.0,16230,0,138,36,Feminino,Rio de Janeiro
99,2025-02-13 13:02:59.594809294,reels,Legenda sobre o post 99 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal99 #outrotema #marketingdigital #redessociais,386,68,3474,3474,60,46,6632.0,16232,69,39,30,Masculino,São Paulo
100,2025-02-13 19:10:13.621899366,image,Legenda sobre o post 100 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal100 #outrotema #marketingdigital #redessociais,3718,333,24167,48334,21,124,,16234,7,245,42,Feminino,Outros
101,2025-02-13 23:59:07.747450352,reels,Legenda sobre o post 101 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal101 #outrotema #marketingdigital #redessociais,2354,394,49434,49434,32,120,10251.0,16236,74,244,34,Feminino,Belo Horizonte
102,2025-02-14 01:39:35.037356138,video,Legenda sobre o post 102 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal102 #outrotema #marketingdigital #redessociais,3619,321,10857,21714,4,70,6176.0,16238,46,215,44,Masculino,Outros
103,2025-02-14 05:26:08.775404453,image,Legenda sobre o post 103 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal103 #outrotema #marketingdigital #redessociais,2571,492,66846,66846,0,13,,16240,32,173,42,Feminino,São Paulo
104,2025-02-14 06:00:08.729147673,image,Legenda sobre o post 104 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal104 #outrotema #marketingdigital #redessociais,1661,409,9966,9966,101,56,,16242,26,137,29,Masculino,São Paulo
105,2025-02-14 06:19:03.484820604,image,Legenda sobre o post 105 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal105 #outrotema #marketingdigital #redessociais,3238,342,35618,71236,66,2,,16244,40,211,27,Feminino,São Paulo
106,2025-02-14 09:56:09.674059153,reels,Legenda sobre o post 106 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal106 #outrotema #marketingdigital #redessociais,1268,306,8242,16484,6,76,14339.0,16246,16,240,29,Masculino,São Paulo
107,2025-02-14 10:22:00.681217909,carousel,Legenda sobre o post 107 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal107 #outrotema #marketingdigital #redessociais,4502,491,99044,99044,123,192,,16248,66,224,35,Masculino,Belo Horizonte
108,2025-02-14 14:31:51.582149029,reels,Legenda sobre o post 108 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal108 #outrotema #marketingdigital #redessociais,3000,103,81000,81000,139,122,8812.0,16250,51,175,37,Feminino,São Paulo
109,2025-02-14 19:22:28.418698549,image,Legenda sobre o post 109 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal109 #outrotema #marketingdigital #redessociais,939,57,11268,22536,115,198,,16252,22,229,42,Masculino,São Paulo
110,2025-02-14 19:47:04.196459293,reels,Legenda sobre o post 110 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal110 #outrotema #marketingdigital #redessociais,4885,97,39080,78160,42,141,7505.0,16254,30,240,28,Feminino,Outros
111,2025-02-14 21:56:54.444507599,video,Legenda sobre o post 111 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal111 #outrotema #marketingdigital #redessociais,3139,42,40807,40807,27,100,14901.0,16256,66,143,28,Feminino,Outros
112,2025-02-14 23:28:42.705218554,reels,Legenda sobre o post 112 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal112 #outrotema #marketingdigital #redessociais,3165,62,79125,79125,35,157,3955.0,16258,14,271,36,Feminino,Outros
113,2025-02-15 04:06:27.560240746,video,Legenda sobre o post 113 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal113 #outrotema #marketingdigital #redessociais,4289,324,23589,47179,68,157,12368.0,16260,44,14,19,Masculino,Outros
114,2025-02-15 04:41:57.100278139,reels,Legenda sobre o post 114 com um texto bacana e alguns emojis. 🤩,#hashtagprincipal114 #outrotema #marketingdigital #redessociais,2575,210,33475,66950,25,75,11010.0,16262,20,268,27,Masculino,Porto Alegre
